year_month,platform,count
2022-01,coupang,254
2022-01,oliveyoung,173
2022-02,coupang,287
2022-02,oliveyoung,230
2022-03,coupang,409
2022-03,oliveyoung,239
2022-04,coupang,276
2022-04,oliveyoung,225
2022-05,coupang,308
2022-05,oliveyoung,269
2022-06,coupang,261
2022-06,oliveyoung,400
2022-07,coupang,331
2022-07,oliveyoung,310
2022-08,coupang,633
2022-08,oliveyoung,464
2022-09,coupang,429
2022-09,oliveyoung,461
2022-10,coupang,354
2022-10,oliveyoung,455
2022-11,coupang,431
2022-11,oliveyoung,374
2022-12,coupang,426
2022-12,oliveyoung,551
2023-01,coupang,493
2023-01,oliveyoung,528
2023-02,coupang,643
2023-02,oliveyoung,626
2023-03,coupang,701
2023-03,oliveyoung,752
2023-04,coupang,712
2023-04,oliveyoung,930
2023-05,coupang,656
2023-05,oliveyoung,909
2023-06,coupang,763
2023-06,oliveyoung,1122
2023-07,coupang,851
2023-07,oliveyoung,1000
2023-08,coupang,818
2023-08,oliveyoung,1190
2023-09,coupang,1064
2023-09,oliveyoung,1085
2023-10,coupang,1067
2023-10,oliveyoung,1228
2023-11,coupang,1008
2023-11,oliveyoung,1112
2023-12,coupang,1113
2023-12,oliveyoung,1388
2024-01,coupang,1203
2024-01,oliveyoung,1079
2024-02,coupang,1041
2024-02,oliveyoung,1147
2024-03,coupang,1157
2024-03,oliveyoung,1404
2024-04,coupang,1125
2024-04,oliveyoung,1564
2024-05,coupang,1229
2024-05,oliveyoung,1602
2024-06,coupang,1271
2024-06,oliveyoung,1905
2024-07,coupang,1367
2024-07,oliveyoung,1822
2024-08,coupang,1131
2024-08,oliveyoung,2290
2024-09,coupang,1174
2024-09,oliveyoung,1827
2024-10,coupang,1346
2024-10,oliveyoung,2136
2024-11,coupang,1379
2024-11,oliveyoung,1847
2024-12,coupang,1540
2024-12,oliveyoung,2348
2025-01,coupang,1689
2025-01,oliveyoung,2193
2025-02,coupang,1805
2025-02,oliveyoung,2614
2025-03,coupang,1809
2025-03,oliveyoung,3117
2025-04,coupang,2207
2025-04,oliveyoung,3029
2025-05,coupang,1945
2025-05,oliveyoung,3241
2025-06,coupang,2217
2025-06,oliveyoung,4208
2025-07,coupang,2103
2025-07,oliveyoung,4357
2025-08,coupang,2293
2025-08,oliveyoung,5477
2025-09,coupang,2355
2025-09,oliveyoung,4968
2025-10,coupang,2437
2025-10,oliveyoung,5373
2025-11,coupang,3138
2025-11,oliveyoung,5170
2025-12,coupang,2619
2025-12,oliveyoung,5578
2026-01,coupang,3530
2026-01,oliveyoung,5860
2026-02,coupang,2967
2026-02,oliveyoung,7156
2026-03,coupang,5127
2026-03,oliveyoung,14149
2026-04,coupang,5476
2026-04,oliveyoung,30569
2026-05,coupang,2074
2026-05,oliveyoung,69082
2026-06,oliveyoung,3994
